Overall rank,Country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,RespectY,RespectN,RespectO,AngerY,AngerN,AngerO,SadnessY,SadnessN,SadnessO,StressY,StressN,StressO,WorryY,WorryN,WorryO,PainY,PainN,PainO,EnjoymentY,EnjoymentN,EnjoymentO
154,Afghanistan,3.203,0.35,0.517,0.361,0,0.158,0.025,48,52,0,36,64,0,34,66,0,37,63,0,52,48,0,35,65,0,48,52,0
107,Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027,92,7,0,26,73,0,29,71,0,55,44,0,40,59,0,46,54,0,68,31,1
88,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114,86,13,1,28,71,1,18,81,1,32,67,1,42,57,1,42,58,0,55,43,2
47,Argentina,6.086,1.092,1.432,0.881,0.471,0.066,0.05,96,4,0,17,83,0,28,72,0,37,62,1,51,49,0,39,61,0,81,18,1
116,Armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064,94,5,0,45,55,1,38,62,0,21,77,2,53,46,1,39,60,1,52,46,3
11,Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29,93,6,1,10,90,0,17,83,0,35,65,0,29,71,0,23,77,0,77,23,0
10,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226,91,8,1,17,83,0,19,80,0,34,65,0,31,69,0,25,75,0,76,23,1
90,Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182,80,13,6,18,81,1,14,84,2,15,82,3,24,73,3,22,76,2,57,39,3
37,Bahrain,6.199,1.362,1.368,0.871,0.536,0.255,0.11,,,,,,,,,,,,,,,,,,,,,
125,Bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143,84,15,1,21,79,0,37,63,0,36,62,1,50,50,0,37,63,0,57,42,1
81,Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142,72,21,7,16,82,2,25,73,3,18,80,2,28,69,3,18,80,2,42,50,8
18,Belgium,6.923,1.356,1.504,0.986,0.473,0.16,0.21,92,7,1,15,85,0,20,80,0,40,60,0,41,59,0,33,67,0,75,25,0
102,Benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082,73,26,1,36,64,0,42,54,4,40,54,6,60,40,1,55,44,1,58,40,2
95,Bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.167,,,,,,,,,,,,,,,,,,,,,
61,Bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064,92,8,0,25,75,0,35,65,0,49,50,1,56,43,0,34,66,0,72,27,1
78,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006,83,13,3,22,76,2,21,78,2,32,68,1,39,59,2,32,66,1,63,34,2
148,Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1,89,10,1,20,80,0,27,72,0,32,68,0,33,67,0,39,61,0,68,31,1
32,Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086,96,4,0,21,79,0,26,74,0,41,59,0,57,43,0,37,63,0,74,24,1
97,Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004,85,11,4,11,86,2,21,76,3,20,77,3,25,73,2,22,77,1,60,36,4
115,Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113,78,19,3,22,76,3,29,68,3,45,49,5,47,49,3,37,60,2,66,32,3
145,Burundi,3.775,0.046,0.447,0.38,0.22,0.176,0.18,73,26,1,32,67,1,38,60,1,39,60,2,38,61,2,39,58,3,59,37,3
109,Cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062,75,24,1,25,75,0,41,59,0,43,57,0,58,42,0,30,70,0,83,17,0
96,Cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037,78,20,2,26,74,1,32,67,1,35,61,4,48,50,1,50,49,1,54,42,3
9,Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308,95,5,0,15,85,0,21,79,0,49,51,0,42,58,0,31,69,0,84,16,1
155,Central African Republic,3.083,0.026,0,0.105,0.225,0.235,0.035,,,,,,,,,,,,,,,,,,,,,
132,Chad,4.35,0.35,0.766,0.192,0.174,0.198,0.078,65,31,5,38,58,4,54,41,5,51,41,8,61,32,7,66,33,1,47,49,3
26,Chile,6.444,1.159,1.369,0.92,0.357,0.187,0.056,95,5,0,16,83,1,23,76,0,38,61,0,43,57,0,39,61,0,83,16,0
93,China,5.191,1.029,1.125,0.893,0.521,0.058,0.1,89,7,4,16,84,1,12,87,1,40,59,0,29,70,1,21,79,0,87,12,1
43,Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034,96,3,0,18,81,0,27,73,0,43,56,1,45,55,0,36,64,0,79,21,0
142,Comoros,3.973,0.274,0.757,0.505,0.142,0.275,0.078,84,16,0,25,75,1,33,67,0,37,62,1,44,56,0,48,52,0,70,29,1
127,Congo (Kinshasa),4.418,0.094,1.125,0.357,0.269,0.212,0.053,,,,,,,,,,,,,,,,,,,,,
103,Congo Brazzaville,4.812,0.673,0.799,0.508,0.372,0.105,0.093,78,21,1,32,66,2,44,54,3,34,61,5,55,42,3,47,51,2,49,46,5
12,Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093,96,4,0,21,79,0,26,73,1,52,48,0,50,50,0,34,66,0,87,13,1
75,Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022,81,16,3,10,88,2,22,76,2,48,49,2,55,44,1,31,69,0,54,42,4
49,Cyprus,6.046,1.263,1.223,1.042,0.406,0.19,0.041,89,10,1,20,80,0,27,73,0,51,49,0,43,57,0,31,69,0,74,26,0
20,Czech Republic,6.852,1.269,1.487,0.92,0.457,0.046,0.036,80,13,7,13,84,3,14,83,3,23,75,2,25,73,2,21,77,1,68,27,5
2,Denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41,94,5,1,11,89,0,17,83,0,20,80,0,35,65,0,24,76,0,87,13,0
77,Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101,96,4,0,12,86,2,29,71,0,46,52,2,46,54,0,34,66,0,69,29,2
50,Ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087,97,3,0,20,79,0,30,70,1,51,48,1,48,51,1,36,64,0,85,14,1
137,Egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067,95,5,0,25,75,0,21,79,0,44,55,1,40,60,0,43,57,0,44,55,1
35,El Salvador,6.253,0.794,1.242,0.789,0.43,0.093,0.074,96,4,0,14,86,0,26,73,0,43,57,0,39,61,0,32,68,0,84,16,1
55,Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161,90,5,5,6,93,1,15,84,1,18,80,2,28,71,1,21,78,1,80,16,3
134,Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.1,65,35,0,26,74,0,23,77,0,28,72,0,33,67,0,25,75,0,63,37,0
1,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393,94,5,1,7,93,0,14,86,0,35,65,0,34,66,0,25,75,0,77,22,1
24,France,6.592,1.324,1.472,1.045,0.436,0.111,0.183,90,9,1,19,80,0,24,75,0,35,65,0,41,59,0,26,74,0,77,22,0
104,Gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055,79,19,1,35,64,1,37,62,1,35,63,2,52,47,1,45,55,1,56,40,3
120,Gambia,4.516,0.308,0.939,0.428,0.382,0.269,0.167,86,14,0,26,74,0,36,64,0,33,67,0,52,48,0,56,44,0,75,24,0
119,Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164,93,6,1,27,73,0,17,82,0,22,78,0,29,70,0,29,71,0,57,42,2
17,Germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265,89,9,2,16,84,0,25,75,0,35,65,0,32,68,0,21,79,0,81,19,0
98,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04,86,13,1,21,78,1,22,77,1,48,51,1,31,68,1,27,72,1,66,32,2
82,Greece,5.287,1.181,1.156,0.999,0.067,0,0.034,89,10,0,16,83,1,18,81,1,59,41,0,41,59,0,27,73,0,68,32,1
27,Guatemala,6.436,0.8,1.269,0.746,0.535,0.175,0.078,96,4,0,13,87,0,25,75,0,42,57,1,40,60,0,33,67,0,85,14,1
118,Guinea,4.534,0.38,0.829,0.375,0.332,0.207,0.086,84,15,1,29,70,1,45,54,2,43,55,2,57,42,1,50,50,1,69,29,2
147,Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11,79,21,0,26,74,0,42,58,0,42,58,0,40,59,1,54,46,0,45,55,0
59,Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078,96,4,0,18,82,0,28,72,0,41,58,1,40,59,0,37,63,0,86,14,0
76,Hong Kong,5.43,1.438,1.277,1.122,0.44,0.258,0.287,,,,,,,,,,,,,,,,,,,,,
62,Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02,87,11,2,11,88,1,17,82,1,38,61,1,31,68,1,26,73,1,73,24,3
4,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118,,,,,,,,,,,,,,,,,,,,,
140,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085,82,17,2,27,72,1,33,66,1,22,77,1,46,54,1,39,61,1,59,39,2
92,Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028,93,7,0,18,81,0,29,71,0,13,87,0,42,58,0,23,77,0,82,18,0
117,Iran,4.548,1.1,0.842,0.785,0.305,0.27,0.125,87,13,1,43,57,0,45,54,0,55,45,0,59,41,0,40,60,0,56,44,0
126,Iraq,4.437,1.043,0.98,0.574,0.241,0.148,0.089,89,11,0,44,56,0,41,59,0,51,49,0,55,45,0,56,44,0,63,36,1
16,Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31,93,7,0,15,85,0,20,80,0,39,61,0,29,71,0,20,80,0,82,18,0
13,Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082,83,15,2,24,74,2,22,77,1,38,61,1,38,61,1,28,70,1,65,34,1
36,Italy,6.223,1.294,1.488,1.039,0.231,0.158,0.03,88,12,1,30,70,0,38,62,0,48,52,0,52,48,0,26,74,0,62,38,0
99,Ivory Coast,4.944,0.569,0.808,0.232,0.352,0.154,0.09,81,18,1,30,69,1,33,65,2,35,59,6,52,46,2,47,50,3,57,40,3
56,Jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028,,,,,,,,,,,,,,,,,,,,,
58,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14,68,27,5,14,86,0,13,87,0,39,60,1,29,71,0,22,78,0,63,36,1
101,Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13,92,8,0,15,84,1,15,84,1,13,86,1,19,80,2,23,76,1,70,25,5
60,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096,87,7,7,19,81,0,23,77,0,30,69,1,29,71,0,36,64,0,75,24,1
121,Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053,80,20,0,17,82,0,9,90,1,33,67,0,24,75,1,30,70,0,78,20,2
46,Kosovo,6.1,0.882,1.232,0.758,0.489,0.262,0.006,95,4,1,28,71,0,24,76,0,41,59,0,39,61,0,34,66,0,69,60,0
51,Kuwait,6.021,1.5,1.319,0.808,0.493,0.142,0.097,94,5,0,21,78,1,22,78,0,13,87,0,18,82,0,23,76,0,73,25,2
86,Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3,0.023,86,12,1,35,65,0,26,73,1,22,75,3,38,60,1,48,51,0,81,18,0
